K,T0655,TDC33,0,1,NA,15:00,35,0
R,T0655,TDC33,0,1,1,15:00,80,10
P,T0655,TDC33,0,1,1,14:21,62,10
R,T0655,TDC33,0,1,2,14:04,53,1
P,T0655,TDC33,0,1,1,13:26,49,10
R,T0655,TDC33,0,1,1,12:42,35,10
P,T0655,TDC33,0,1,1,12:05,24,10
R,T0655,TDC33,0,1,2,10:53,42,28
P,T0655,TDC33,0,1,3,10:28,36,22
F,T0655,TDC33,0,1,4,9:44,26,12
P,TDC33,T0655,0,1,1,9:40,66,10
P,TDC33,T0655,0,1,1,9:14,68,10
P,TDC33,T0655,0,1,1,9:00,56,10
P,TDC33,T0655,0,1,1,8:31,43,10
P,TDC33,T0655,0,1,2,8:27,43,10
P,TDC33,T0655,0,1,3,8:22,43,10
PP,TDC33,T0655,0,1,4,7:48,43,10
R,T0655,TDC33,0,1,1,7:41,93,10
R,T0655,TDC33,0,1,2,7:07,87,4
P,T0655,TDC33,0,1,3,6:26,88,5
P,T0655,TDC33,0,1,1,5:29,83,15
P,T0655,TDC33,0,1,2,4:48,80,12
P,T0655,TDC33,0,1,3,4:03,86,18
PP,T0655,TDC33,0,1,4,3:25,69,1
R,TDC33,T0655,0,1,1,3:14,90,10
R,TDC33,T0655,0,1,2,2:40,82,2
R,TDC33,T0655,0,1,3,2:05,81,1
P,TDC33,T0655,0,1,1,0:45,90,20
P,TDC33,T0655,0,1,2,0:12,81,11
R,TDC33,T0655,0,2,3,15:00,72,2
R,TDC33,T0655,0,2,1,14:30,63,10
P,TDC33,T0655,0,2,2,13:55,66,13
P,TDC33,T0655,0,2,3,13:21,59,6
R,TDC33,T0655,0,2,1,12:44,51,10
P,TDC33,T0655,0,2,2,12:13,48,7
P,TDC33,T0655,0,2,1,11:40,35,10
P,TDC33,T0655,6,2,1,11:16,16,10
K,T0655,TDC33,-7,2,NA,11:11,35,0
R,T0655,TDC33,-7,2,1,11:11,80,10
P,T0655,TDC33,-7,2,2,10:33,78,8
P,T0655,TDC33,-7,2,3,10:27,78,8
R,T0655,TDC33,-7,2,1,10:02,35,10
R,T0655,TDC33,-7,2,2,9:30,29,4
P,T0655,TDC33,-7,2,3,8:46,28,3
F,T0655,TDC33,-7,2,4,8:43,28,3
P,TDC33,T0655,7,2,1,8:38,64,10
R,TDC33,T0655,7,2,1,8:06,50,10
P,TDC33,T0655,7,2,2,7:27,50,10
P,TDC33,T0655,7,2,1,6:58,32,10
R,TDC33,T0655,7,2,1,6:22,20,10
R,TDC33,T0655,7,2,2,6:00,12,2
R,TDC33,T0655,7,2,3,5:19,11,1
P,TDC33,T0655,7,2,1,4:46,9,9
P,TDC33,T0655,13,2,2,4:06,6,6
K,T0655,TDC33,-14,2,NA,4:01,35,0
P,T0655,TDC33,-14,2,1,3:57,83,10
P,T0655,TDC33,-14,2,2,2:51,88,15
P,T0655,TDC33,-14,2,3,2:13,79,6
R,T0655,TDC33,-14,2,1,2:00,42,10
P,T0655,TDC33,-14,2,2,1:29,40,8
P,T0655,TDC33,-14,2,3,0:53,35,3
P,T0655,TDC33,-14,2,4,0:48,35,3
R,T0655,TDC33,-14,2,1,0:43,31,10
P,T0655,TDC33,-14,2,2,0:19,26,5
P,T0655,TDC33,-14,2,3,0:13,26,5
F,T0655,TDC33,-11,2,4,0:07,26,5
K,TDC33,T0655,11,2,NA,0:03,35,0
QK,TDC33,T0655,11,2,1,0:03,80,10
K,TDC33,T0655,11,3,NA,15:00,35,0
P,TDC33,T0655,11,3,1,15:00,80,10
R,TDC33,T0655,11,3,1,14:30,70,10
R,TDC33,T0655,11,3,2,14:06,66,6
P,TDC33,T0655,11,3,3,13:29,65,5
R,TDC33,T0655,11,3,1,12:55,55,10
R,TDC33,T0655,11,3,1,12:18,44,10
P,TDC33,T0655,11,3,2,11:57,35,1
P,TDC33,T0655,17,3,2,10:43,1,1
K,T0655,TDC33,-18,3,NA,10:37,35,0
R,T0655,TDC33,-18,3,1,10:37,80,10
P,T0655,TDC33,-18,3,1,9:58,52,10
R,T0655,TDC33,-18,3,1,9:14,19,10
R,T0655,TDC33,-18,3,2,8:36,12,3
R,T0655,TDC33,-18,3,1,7:58,2,2
R,T0655,TDC33,-18,3,2,7:16,1,1
R,T0655,TDC33,-12,3,3,6:48,1,1
P,T0655,TDC33,-10,3,NA,6:43,2,0
