,content,uid
0,"
Jeff, I understand you've been getting pricing from our crude/diesel traders 
for some of your transportation work.  Please do not go directly to the 
traders, rather the structuring desk.  Also, please coordinate your activites 
with Dan Reck who is running Enron Freight, dealing with all trucking and 
rail issues.  We are acquiring a company that has relationships with many of 
the customers you've pitched.  In most cases, we have been covering many of 
these customers from the energy side already.

Thanks for your cooperation

Jeff",0
1,"
Sorry for the delay in getting back to you about my friend saar at goldman 
sachs.  he recently moved departments, and I will get you relevant data 
shortly.  

regards.
 Jeff",0
2,"
don't forget to call mcmahon and give him a little grief.  Ray told me this 
was all Jeff M.'s doing.",0
3,"
Hear Ye, Hear Ye,
Congratulations, Carole Goldberg of Camp Safety of Louisville in Louisville,  
your remaining balance of $10,000 has been waived by the credit committee!  
Best of Luck,
Ed McMahon
Jeff Shankman
",0
4,"
Come on.  You should come to the tuesday traders' meeting.  they've been 
really good. In 3321 4-5 each tuesday.
I'll bring over a copy of the current book we are reading as enticement.  
It's not a corvette, but it's a good book.",0
5,"
Just to put me over the edge, I got a phone call last week from one of the 
gas trading h.r. people with respect to robin menear.  she was listed as 
commercial support (still) and when I hired her last year, it was as a 
commercial manager.  Your boy Brad McSherry didn't fix her class, even though 
this was a problem at mid year as well.   Of course he told me it had been 
taken care of, but Hunter Shively showed up in my office last week to go over 
her history, and what my intent was when i hired her.  he too was involved in 
the hiring decision.

Shall i do brad's termination, or will you.",0
6,"
Hi Chris,
Give me a ring tomorrow (tuesday) morn when you get a second.  I'd like to go 
over a couple of things and need your input.  

Thanks.  Jeff",0
7,"
How was the weekend?  Mine was good--I met Dennis Hopper, the actor.  He is 
one cool dude.  I'm thinking about taking a long weekend vacation.  Where 
sounds fun?
",0
8,"
Both Stuart Staley,and Dan Reck are being moved to $175k base each.  In 
looking across our vp. list, Mike and I felt like these are two of our top 
vp's, and we wanted to make an equity adjustment.  They are low at the vp 
level within ews.   

Thanks.  Jeff",0
9,"
See you--have fun at your parties!",0
10,"
I'm out of here by 3 today--if I don't hear from you, have a great weekend.  
(But we should have dinner sometime)",0
11,"
Michelle,

Thanks for the quick turnaround on the draft contract for Dan Reck.  Mark 
Frevert, Mike Mcconnell and I had several conversations today about this 
issue.  I have left a detailed voice mail for Mark outlining the target 
amounts, and will wait to hear back from him (by tomorrow) before presenting 
this to Dan.

Regards,

Jeff",0
12,"
Hi there.  I've been out for 2 days.  I was driving home last night from the 
airport down 59, and I passed all sorts of emergency vehicles because of an 
explosing near.  Did you hear about it?",0
13,"
can you tell i need to relax?",0
14,"
Thanks for the update on the sell weekend.  It certainly sounds like there 
were positives and negatives.  Going forward, I would like the commercial 
team under my direction to plan all future sell weekends, and similar 
recruiting functions.  I did not get Skilling to agree to a $1,000,000 
contribution to Wharton/Penn for us to not have a perfectly seamless 
weekend.  We all agree to the strategic importance of Univ of Penn, and we 
are not going to blow it, or appear to blow it.  I would like the Recruiting 
function and Commercial function to coordinate all logistics, etc., however, 
given this was one of the worst sell weekends I have seen Enron put together, 
we all need to get together and come up with specific plans on who will be 
accountable for specific parts of the weekend.  If anyone was hanging out in 
their hotel rooms, we were not doing our jobs, and I will take all 
responsibility going forward. 

I appreciate everyone's support and cooperation.

Jeff",0
15,"
Howdy...How long has it been?  When are we going out?  How's everything up 
there?",0
16,"
Joe,  

Saar Banin's work number in the UK at Goldman is 0207 774 6181.  He had been 
in metals for them for some time, and just moved over to gas and power (in 
the UK)  He's an aggressive, smart guy who I've known for 10 years.  Top 
notch.

Hope all is well

Jeff

PS  has Doug Rottenburg been calling anyone over there?  We haven't heard a 
sound from him.....
",0
17,"
oh, i forgot to point out one more thing.  aren't you a dragon and mark a 
dog?  should i call the ghostbusters?

ok, i'll stop",0
18,"
was that last email the rudest thing i've ever said?  so sorry......",0
19,"
did you call earlier today?",0
20,"
Where is my LNG map?",0
